Ticker,SmartMoney,Signal_Strength,Volume_Ratio,Price_Momentum,Consolidation_Index
WMT,True,66.69999999999999,2.15x,1.2198727546760706,0.8774086216846273
INTU,True,66.69999999999999,5.16x,0.9737817567796776,0.5977492616972787
JNJ,False,33.4,0.21x,1.279702205443785,0.9465898056302904
MSFT,False,33.4,0.52x,0.6038426741726479,0.9128413818993295
AMZN,False,33.4,0.54x,0.9682590879629926,0.908421196388548
IBM,False,33.3,2.52x,1.6775275850867197,0.8246679305434053
CRM,False,0.0,0.50x,-0.9461892333123343,0.8419035146470166
INTC,False,0.0,0.50x,0.20393946911071242,0.33270540792968306
AMD,False,0.0,0.44x,0.17266208952908935,0.48638709283644155
QCOM,False,0.0,0.62x,0.12440803880913251,0.27343647628463474
AAPL,False,0.0,0.40x,0.11781698066407373,0.8479227966649916
CSCO,False,0.0,0.47x,-0.006109140263154804,0.6081837131191079
ADBE,False,0.0,0.54x,6.857426676300219,0.8560887630353046
PYPL,False,0.0,0.37x,-0.018072989418491413,0.7917540516385426
ORCL,False,0.0,0.37x,-0.08113815374798329,0.7481444244891713
FISV,False,0.0,0.52x,-0.12439686713189328,0.772666263626374
NFLX,False,0.0,0.51x,-1.0467200091043127,0.8871915552731713
HD,False,0.0,0.41x,-0.7806997565605547,0.8230024841582527
NKE,False,0.0,0.57x,-11.692837247769235,0.8945586270558082
MCD,False,0.0,0.43x,-0.5612406947473231,0.8874550183281623
COST,False,0.0,0.61x,0.06901274469314922,0.8853225160548103
PG,False,0.0,0.35x,-0.4113952209063638,0.9119851370306606
MA,False,0.0,0.32x,-1.8941770688061372,0.9053297856959541
V,False,0.0,0.35x,0.25063674752216414,0.8769128734402046
BRK-B,False,0.0,0.36x,-0.35247590951945434,0.9459878164973031
TSLA,False,0.0,0.58x,-0.02339211167718575,0.7544640196133418
META,False,0.0,0.50x,0.09826137188494644,0.848295598856255
NVDA,False,0.0,0.92x,-0.40786147501733244,0.7853549008221834
GOOGL,False,0.0,0.41x,-0.12796150555994937,0.7816870881505651
EBAY,False,0.0,0.28x,0.08070995499750165,0.7608018376476234
